from	to
8377234.0	8675093.0
8665345.0	2801559.0
6349536.0	4972832.0
5159035.0	729539.0
5159035.0	2613552.0
5159035.0	2542525.0
2826194.0	3703534.0
2826194.0	6714544.0
2826194.0	1809895.0
2826194.0	2934788.0
2826194.0	1512940.0
2826194.0	1534638.0
8323473.0	8393415.0
8323473.0	6143836.0
8323473.0	4957195.0
8323473.0	1620194.0
8323473.0	8543483.0
8542069.0	4332208.0
1737773.0	2519416.0
1737773.0	1142543.0
1737773.0	855515.0
5042517.0	1491895.0
8259605.0	3379703.0
8259605.0	5043552.0
8259605.0	2595012.0
8186763.0	7450125.0
7875765.0	1737003.0
7875765.0	5138452.0
7875765.0	8001048.0
1834618.0	6787580.0
1834618.0	96944.0
1834618.0	359226.0
1834618.0	521631.0
1834618.0	1306401.0
1834618.0	118068.0
8286219.0	2801559.0
2202284.0	1139637.0
2202284.0	2687790.0
2202284.0	1205043.0
2202284.0	1300194.0
2202284.0	1569591.0
2202284.0	19068.0
2202284.0	1111013.0
7671482.0	2840750.0
7671482.0	7450125.0
7671482.0	4057622.0
7671482.0	519413.0
2008111.0	2008111.0
2008111.0	1905624.0
2008111.0	1544977.0
2008111.0	686490.0
2008111.0	505216.0
2008111.0	3202149.0
2008111.0	2814611.0
6828186.0	1586174.0
6828186.0	7685472.0
6828186.0	693275.0
6579677.0	3961074.0
4509083.0	615746.0
4509083.0	1353011.0
8259605.0	5138452.0
8259605.0	1441822.0
8259605.0	7450125.0
8259605.0	7772070.0
8332000.0	1335165.0
8259605.0	2801559.0
8259605.0	5407848.0
5260450.0	3711988.0
2713831.0	4281779.0
2713831.0	6388178.0
8217790.0	1491895.0
4332208.0	2159528.0
8140107.0	1441822.0
7513018.0	5018124.0
7513018.0	4807311.0
8066192.0	4248328.0
8066192.0	849417.0
5468958.0	3282115.0
6065078.0	965051.0
8075749.0	8075342.0
8075749.0	7727843.0
8075749.0	8075749.0
8075749.0	1094246.0
8075749.0	3385827.0
8050863.0	5935182.0
8050863.0	4395287.0
8050863.0	6876418.0
7973076.0	3777524.0
7973076.0	2801559.0
8046645.0	7467283.0
8046645.0	4183947.0
5468958.0	4973275.0
5468958.0	5180509.0
5468958.0	3858806.0
5468958.0	2809325.0
5468958.0	295783.0
5468958.0	2369807.0
7671482.0	4614333.0
5414111.0	1906356.0
6243955.0	7727843.0
7423021.0	2159528.0
7423021.0	7803650.0
6787580.0	3980476.0
6787580.0	7505730.0
7727773.0	519413.0
7831719.0	3858806.0
7831719.0	4593347.0
7831719.0	3732075.0
7535133.0	7104527.0
5855723.0	505278.0
5855723.0	3210611.0
5855723.0	5128422.0
5855723.0	4423636.0
6227095.0	7770095.0
1993983.0	19068.0
1993983.0	2567446.0
7727773.0	5762823.0
7727773.0	1624261.0
7727773.0	2952213.0
7727773.0	4890742.0
3482570.0	6166753.0
3482570.0	4633197.0
2838500.0	1884503.0
2838500.0	2807302.0
6482130.0	4700922.0
6482130.0	5867572.0
6482130.0	3589092.0
6845052.0	5483521.0
6845052.0	7405477.0
2817437.0	6579138.0
2817437.0	5921745.0
7100486.0	7554400.0
7100486.0	7453470.0
7100486.0	1510216.0
3910124.0	74757.0
3910124.0	3993662.0
6803781.0	6803781.0
6803781.0	2815635.0
6803781.0	3753686.0
6121338.0	519413.0
7463657.0	2595012.0
7583481.0	295783.0
7583481.0	6480931.0
7583481.0	7080032.0
7248517.0	7248517.0
7248517.0	4928227.0
7248517.0	6643918.0
7248517.0	970567.0
7620082.0	4183947.0
7620082.0	4972832.0
7620082.0	2347438.0
7620082.0	7620406.0
3161484.0	6532189.0
3161484.0	1059101.0
3161484.0	7574108.0
3161484.0	1430856.0
3161484.0	2943218.0
7594972.0	7594972.0
7594972.0	5947043.0
5240796.0	1493346.0
1032593.0	1512940.0
1032593.0	3515127.0
1032593.0	3445573.0
1032593.0	2915384.0
1032593.0	754015.0
5930816.0	7563953.0
5930816.0	5644787.0
5930816.0	3155675.0
6936310.0	5632544.0
6936310.0	328193.0
2661962.0	7450125.0
6579677.0	3151567.0
7180518.0	2310830.0
6845052.0	6382509.0
6845052.0	3608839.0
6845052.0	6755791.0
6845052.0	529024.0
6845052.0	5255147.0
6845052.0	533941.0
982124.0	4614305.0
982124.0	1957432.0
982124.0	3378245.0
3129498.0	295783.0
3129498.0	897320.0
7359217.0	7247090.0
7359217.0	1924235.0
7359217.0	5336818.0
7335844.0	1474333.0
7335844.0	7247090.0
7335844.0	7349617.0
1721875.0	1721875.0
1721875.0	1288121.0
1208461.0	4309248.0
1208461.0	1015483.0
5197317.0	4423636.0
5197317.0	6862770.0
5197317.0	5918395.0
5197317.0	5265950.0
3011784.0	3011784.0
3011784.0	1447509.0
2346446.0	2472111.0
5252406.0	2310830.0
6610548.0	2556735.0
6610548.0	5517143.0
7182492.0	519413.0
6666188.0	1842959.0
6666188.0	5921745.0
5733717.0	5036059.0
