from	to	weight
709329.0	2029048.0	7.353146427250407e-10
709329.0	991275.0	1.4936824394538861e-09
709329.0	2758150.0	1.6596422174920689e-10
709329.0	2078030.0	4.402664699281432e-10
709329.0	2905625.0	4.103006616645692e-10
709329.0	2346427.0	3.6880954925244333e-10
2838500.0	2346427.0	9.104974695744485e-10
4863202.0	201078.0	0.0005954049746715053
4863202.0	1633186.0	0.0011908095964772679
4863202.0	1011527.0	0.0011908084558196693
4863202.0	519413.0	0.0017862143947159018
201078.0	1633186.0	0.0005954046218057626
201078.0	1011527.0	0.000595403481148164
201078.0	519413.0	0.0011908094200443965
1898904.0	519413.0	0.0017862143947159018
1633186.0	519413.0	0.0005954047982386339
1898904.0	519413.0	0.0017862143947159018
1011527.0	1633186.0	1.1406575985400264e-09
1011527.0	519413.0	0.0005954059388962325
1898904.0	519413.0	0.0017862143947159018
1898904.0	519413.0	0.0017862143947159018
4938891.0	519413.0	0.0017862143947159018
3796446.0	3946728.0	0.0006061013616091342
3796446.0	3796446.0	0.0006058196637208284
3796446.0	3946728.0	0.0006058156919722176
3796446.0	3946728.0	2.816978883058265e-07
4938891.0	3946728.0	0.0006061013616091342
3946728.0	3946728.0	2.8566963691659727e-07
3946728.0	3796446.0	3.971748610770778e-09
4938891.0	3796446.0	0.0006058196637208284
3946728.0	3946728.0	0.0006061013616091342
3946728.0	3796446.0	0.0006058196637208284
3946728.0	3946728.0	0.0006058156919722176
1550807.0	1248114.0	0.00037148086380956325
1261800.0	1248114.0	7.107523937888854e-10
398431.0	1248114.0	4.43240863036644e-05
90678.0	1386886.0	0.00032715758643810317
398431.0	1386886.0	0.0003271578651663538
200976.0	1386886.0	0.0009814716282952004
200976.0	90678.0	0.0006543140418570972
2468342.0	1677272.0	0.000933422150028394
2468342.0	1677272.0	0.0014001427359842979
1130317.0	2468342.0	0.0004667205859559039
1130317.0	1677272.0	0.0014001427359842979
2908777.0	2468342.0	0.0004667205859559039
2908777.0	1677272.0	0.0014001427359842979
2468342.0	1677272.0	0.0014001427359842979
1312107.0	1428679.0	0.0007512023085496133
1312107.0	1469954.0	0.0007512022530335096
1482542.0	1469954.0	0.0007512022530335096
1469954.0	1428679.0	5.5516103758361524e-11
1482542.0	1428679.0	0.0007512023085496133
907927.0	1253312.0	0.0013191160290579318
864385.0	1253312.0	0.0008794097208254454
1518924.0	1875256.0	0.00046860903085737713
1525221.0	1875256.0	0.001405838974942836
1525221.0	1875256.0	0.001405838974942836
3231139.0	1518924.0	0.00046861829273010867
3231139.0	1875256.0	0.0009372273235874858
1525221.0	1875256.0	0.001405838974942836
1079913.0	5073447.0	0.000682953408826028
4237965.0	5073447.0	0.000682953408826028
5468958.0	5073447.0	0.000682953408826028
2369807.0	295783.0	0.0021423205807756434
2438423.0	689579.0	0.0008963923338396992
3161980.0	5089460.0	0.000719083432518278
2613306.0	5089460.0	0.000719083432518278
3944497.0	5089460.0	0.000719083432518278
4705262.0	5089460.0	0.000719083432518278
4024328.0	4701628.0	1.0495547401773338e-08
4705262.0	4701628.0	0.0006247963176592465
5542214.0	2611451.0	0.0007290110137708157
4679611.0	2611451.0	0.0007290110137708157
5066707.0	2611451.0	0.0007290110137708157
5476612.0	2611451.0	0.0007290110137708157
2253302.0	2611451.0	0.0007290110137708157
11428688.0	2611451.0	-0.008148603231283268
2207559.0	9645594.0	0.008879809940311649
10503914.0	9645594.0	0.0017770553245464614
6371914.0	412507.0	0.003107166161965079
6411417.0	412507.0	4.8020246850959125e-08
3402854.0	412507.0	0.003107166161965079
1491895.0	412507.0	0.003107166161965079
1117987.0	412507.0	0.0036240004632186375
1868805.0	19068.0	0.0005168377546384994
1117987.0	19068.0	0.0010336720558920577
3084196.0	19068.0	0.000997716774874893
3084196.0	19068.0	0.000997716774874893
8929645.0	1842959.0	0.0005810499986555206
3655408.0	1842959.0	0.0005810499986555206
2801144.0	1842959.0	2.434442345302691e-09
387413.0	328501.0	0.0005823720176638156
148766.0	328501.0	0.0008735608852276674
148766.0	328501.0	0.0008735608852276674
388086.0	387413.0	0.0002911888675638519
388086.0	328501.0	0.0008735608852276674
398431.0	328501.0	0.0008735608852276674
440764.0	34397.0	0.0003123436677899999
398431.0	34397.0	0.0006246871481412554
522511.0	118068.0	1.1703187030587259e-11
522511.0	3794803.0	0.0014220797220918448
522511.0	2082141.0	0.0021331188107282556
5879512.0	2082141.0	0.003555186291339051
118068.0	3794803.0	0.0014220797103886578
118068.0	2082141.0	0.0021331187990250686
5879512.0	2082141.0	0.003555186291339051
3794803.0	2082141.0	0.0007110390886364108
5879512.0	2082141.0	0.003555186291339051
5879512.0	2082141.0	0.003555186291339051
1353011.0	4255447.0	0.0006860512950105553
6385825.0	7347451.0	0.0018548044288677003
6385825.0	973578.0	0.013886747249373693
6385825.0	4084932.0	0.0005341155126585224
6385825.0	1714715.0	0.002136427844070828
6385825.0	4181566.0	0.0010682117825128558
7193616.0	7347451.0	0.0018548044288677003
7193616.0	973578.0	0.013886747249373693
7193616.0	4084932.0	0.0005341155126585224
7193616.0	1714715.0	0.002136427844070828
7193616.0	4181566.0	0.0010682117825128558
2670571.0	7347451.0	0.0018548044288677003
2670571.0	973578.0	0.013886747249373693
2670571.0	4084932.0	0.0005341155126585224
2670571.0	1714715.0	0.002136427844070828
2670571.0	4181566.0	0.0010682117825128558
7347451.0	973578.0	0.012031942820505993
7347451.0	1714715.0	0.0002816234152031279
2475928.0	1714715.0	-0.0016023087492018375
4084932.0	7347451.0	0.001320688916209178
4084932.0	973578.0	0.01335263173671517
4084932.0	1714715.0	0.0016023123314123059
4084932.0	4181566.0	0.0005340962698543334
1714715.0	973578.0	0.011750319405302865
4181566.0	7347451.0	0.0007865926463548445
4181566.0	973578.0	0.012818535466860837
4181566.0	1714715.0	0.0010682160615579723
7587575.0	1714715.0	0.002136427844070828
1357832.0	6372637.0	3.723816152916698e-08
7587575.0	6372637.0	0.0011369612174869348
2749048.0	6372637.0	0.0006901566057372333
1556245.0	537249.0	1.2176876512865788e-09
2749048.0	537249.0	2.530102583768023e-09
2370483.0	537249.0	0.0004468071418522853
2370483.0	1556245.0	0.000446805924164634
7423021.0	1556245.0	0.0014993223653855777
7803650.0	2159528.0	0.001053500139479988
7423021.0	2159528.0	0.0021060165807009314
7267465.0	2159528.0	0.0020050336170284746
7267465.0	2159528.0	0.0020050336170284746
1891098.0	1127514.0	0.000468899148796961
2013910.0	1127514.0	0.001428893244866602
2674716.0	3171256.0	0.0014288951432424003
2674716.0	3411338.0	0.00047629844409751614
2013910.0	3411338.0	0.001905191688964118
1410567.0	3171256.0	0.0014288951432424003
1410567.0	3411338.0	0.00047629844409751614
2013910.0	3411338.0	0.001905191688964118
2862991.0	3171256.0	0.0014288951432424003
2862991.0	3411338.0	0.00047629844409751614
2013910.0	3411338.0	0.001905191688964118
1545292.0	3171256.0	0.0014288951432424003
1545292.0	3411338.0	0.00047629844409751614
2013910.0	3411338.0	0.001905191688964118
3411338.0	3171256.0	0.0009525966991448841
2013910.0	3171256.0	0.0028577883881090024
1449915.0	3171256.0	0.0014288951432424003
1175966.0	568785.0	0.00036588443713711445
1449915.0	568785.0	0.0007317686232655722
6773255.0	568785.0	-0.00012089937670978549
2295549.0	6700127.0	3.4249842938973915e-09
6773255.0	6700127.0	1.937141620700876e-08
4918811.0	6700127.0	0.0008526873713915647
4918811.0	2295549.0	0.0008526839464072708
5702077.0	2295549.0	0.0008526839464072708
3386635.0	1491895.0	0.0015021410339340997
3840799.0	1491895.0	0.0015021410339340997
6803781.0	3753686.0	0.0009776714886162762
2815635.0	3753686.0	0.0009776714886162762
6803781.0	3753686.0	0.0009776714886162762
2061000.0	529322.0	0.0006963987674356316
2467772.0	529322.0	0.0006963987674356316
5064424.0	529322.0	0.0006963987674356316
1945540.0	529322.0	-0.0002853313377885316
